window,variant,ret_pct,cagr_pct,sharpe,sortino,max_dd_pct,pf,win_rate,expectancy,n_trades,avg_hold_h
W1 (2021-12→2022-07),baseline,-24.4,-42.85,-2.157,-1.826,-28.67,0.66,35.6,-55.03,45,37.2
W1 (2021-12→2022-07),adx,-5.41,-10.53,-0.6,-0.334,-19.71,0.869,40.9,-22.07,22,30.4
W1 (2021-12→2022-07),ema,-25.61,-44.66,-2.871,-2.016,-29.43,0.592,31.4,-74.85,35,35.2
W2 (2022-07→2022-12),baseline,-24.78,-43.42,-1.893,-1.964,-28.49,0.62,31.1,-59.04,45,40.5
W2 (2022-07→2022-12),adx,3.16,6.43,0.444,0.293,-12.74,1.147,44.4,21.78,18,32.0
W2 (2022-07→2022-12),ema,-7.09,-13.68,-0.571,-0.48,-12.49,0.842,37.5,-25.8,24,42.8
W3 (2022-12→2023-07),baseline,15.04,32.35,1.098,1.082,-21.87,0.986,42.6,-1.86,54,35.6
W3 (2022-12→2023-07),adx,42.52,103.12,3.263,2.762,-8.94,2.563,64.3,156.38,28,37.3
W3 (2022-12→2023-07),ema,21.49,47.6,1.666,1.427,-13.54,1.249,48.8,32.24,41,30.9
W4 (2023-07→2023-12),baseline,-11.79,-22.18,-0.849,-0.682,-23.43,0.868,40.8,-18.82,49,32.2
W4 (2023-07→2023-12),adx,-24.42,-42.87,-3.003,-1.414,-24.45,0.673,37.5,-58.72,24,30.0
W4 (2023-07→2023-12),ema,-9.77,-18.59,-0.922,-0.614,-14.56,0.853,40.0,-21.76,35,33.3
