symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
BTCUSDT,4h,5,30,487.89,-39.86,0.333,279,27.24,1.38
BTCUSDT,4h,5,50,588.51,-38.5,0.353,217,26.73,1.489
BTCUSDT,4h,5,75,360.79,-43.17,0.286,196,20.41,1.419
BTCUSDT,4h,5,100,487.09,-50.24,0.314,184,19.02,1.494
BTCUSDT,4h,5,150,1117.64,-44.33,0.406,141,19.86,1.774
BTCUSDT,4h,10,30,390.46,-46.65,0.305,243,27.16,1.377
BTCUSDT,4h,10,50,703.48,-41.45,0.374,187,27.27,1.598
BTCUSDT,4h,10,75,519.82,-47.67,0.329,168,22.02,1.499
BTCUSDT,4h,10,100,918.33,-43.46,0.393,152,22.37,1.748
BTCUSDT,4h,10,150,840.95,-42.7,0.373,135,19.26,1.661
BTCUSDT,4h,15,30,433.11,-50.4,0.317,229,32.75,1.401
BTCUSDT,4h,15,50,426.61,-48.13,0.31,182,24.18,1.463
BTCUSDT,4h,15,75,469.07,-49.94,0.316,158,21.52,1.479
BTCUSDT,4h,15,100,966.88,-43.37,0.401,143,21.68,1.748
BTCUSDT,4h,15,150,919.63,-43.12,0.385,123,19.51,1.673
BTCUSDT,4h,20,30,220.77,-48.11,0.238,249,32.13,1.288
BTCUSDT,4h,20,50,486.56,-48.55,0.327,168,25.6,1.487
BTCUSDT,4h,20,75,467.84,-47.7,0.315,151,21.85,1.419
BTCUSDT,4h,20,100,1071.98,-42.1,0.413,135,22.22,1.772
BTCUSDT,4h,20,150,879.46,-44.78,0.38,120,19.17,1.645
BTCUSDT,4h,30,50,766.96,-40.64,0.385,172,26.16,1.492
BTCUSDT,4h,30,75,812.24,-44.33,0.385,140,22.14,1.581
BTCUSDT,4h,30,100,1232.72,-45.31,0.431,127,20.47,1.665
BTCUSDT,4h,30,150,806.48,-46.33,0.372,116,24.14,1.671
BTCUSDT,4h,40,50,853.45,-39.23,0.397,182,29.67,1.419
BTCUSDT,4h,40,75,770.76,-40.34,0.378,136,25.0,1.487
BTCUSDT,4h,40,100,703.22,-47.63,0.36,134,20.9,1.552
BTCUSDT,4h,40,150,572.47,-43.51,0.331,124,19.35,1.519
