fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
5,30,-31.58,-54.29,-0.158,216,32.41,0.821
5,50,-22.44,-49.51,-0.099,158,31.01,0.834
5,75,-15.72,-46.12,-0.056,120,24.17,0.866
5,100,-19.08,-51.66,-0.077,95,24.21,0.772
5,150,-3.87,-44.51,0.01,75,24.0,0.888
5,200,-10.44,-46.42,-0.023,59,25.42,0.801
10,30,-23.72,-51.6,-0.106,182,33.52,0.861
10,50,-7.24,-46.94,-0.009,117,39.32,0.938
10,75,1.78,-42.59,0.038,86,32.56,0.983
10,100,-17.45,-47.88,-0.067,72,29.17,0.779
10,150,-0.1,-40.95,0.029,53,28.3,0.916
10,200,-3.0,-44.29,0.015,42,26.19,0.892
15,30,-13.66,-50.29,-0.043,167,35.93,0.924
15,50,20.27,-37.72,0.12,96,41.67,1.135
15,75,3.47,-38.67,0.046,76,34.21,1.0
15,100,-0.94,-40.35,0.024,61,32.79,0.914
15,150,-13.52,-47.1,-0.04,48,33.33,0.755
15,200,-4.56,-46.83,0.007,37,27.03,0.866
20,30,2.5,-44.98,0.042,172,40.7,1.013
20,50,6.07,-36.74,0.058,93,38.71,1.026
20,75,15.72,-35.04,0.102,68,45.59,1.128
20,100,9.01,-39.8,0.072,50,34.0,1.003
20,150,-17.43,-49.0,-0.063,44,29.55,0.729
20,200,-2.47,-47.52,0.018,33,24.24,0.883
30,50,3.39,-36.51,0.045,105,45.71,0.999
30,75,15.68,-34.52,0.102,67,38.81,1.134
30,100,9.49,-39.58,0.074,45,40.0,1.01
30,150,-7.94,-48.85,-0.009,37,29.73,0.83
30,200,-1.77,-47.6,0.022,32,25.0,0.895
40,50,-15.71,-44.79,-0.056,119,46.22,0.859
40,75,-0.38,-40.62,0.027,62,40.32,0.96
40,100,7.45,-41.15,0.065,44,40.91,0.989
40,150,-7.2,-48.39,-0.005,36,36.11,0.836
40,200,-9.98,-52.4,-0.019,28,25.0,0.785
